Message,CFG-PWR,,,,,
Description,Put receiver in a defined power state.,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
Type,Set,,,,,
Comment,"This message is deprecated in protocol versions greater than 17. Use UBX-CFG-RSTfor GNSS start/stop and UBX-RXM-PMREQ for software backup.-",,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x06,0x57,8,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U1,-,version,-,Message version (1 for this version),
1,U1[3],-,reserved1,-,Reserved,
