Message,CFG-ANT,,,,,
Description,Antenna Control Settings,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
Type,Get/Set,,,,,
Comment,-,,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x06,0x13,4,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,X2,-,flags,-,Antenna Flag Mask (see graphic below),
2,X2,-,pins,-,Antenna Pin Configuration (see graphic below),
