"",Message,CFG-INF,,,,,
"",Description,Poll configuration for one protocol,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Poll Request,,,,,
"",Comment,-,,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x06,0x02,1,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,protocolID,-,"Protocol Identifier, identifying the outputprotocol for this Poll Request. The following arevalid Protocol Identifiers:0: UBX Protocol1: NMEA Protocol2-255: Reserved",
