Message,TIM-SVIN,,,,,
Description,Survey-in data,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01 (only with Time &Frequency Sync or Time Sync products)",,,,,
Type,Periodic/Polled,,,,,
Comment,"This message contains information about survey-in parameters. For details about the TimeMode see section Time Mode Configuration.",,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x0D,0x04,28,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U4,-,dur,s,Passed survey-in observation time,
4,I4,-,meanX,cm,"Current survey-in mean position ECEF Xcoordinate",
8,I4,-,meanY,cm,"Current survey-in mean position ECEF Ycoordinate",
12,I4,-,meanZ,cm,"Current survey-in mean position ECEF Zcoordinate",
16,U4,-,meanV,mm^2,Current survey-in mean position 3D variance,
20,U4,-,obs,-,"Number of position observations used duringsurvey-in",
24,U1,-,valid,-,"Survey-in position validity flag, 1 = valid,otherwise 0",
