Message,SEC-UNIQID,,,,,
Description,Unique Chip ID,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 18 up to version 23.01",,,,,
Type,Output,,,,,
Comment,"This message is used to retrieve a unique chip identifier (40 bits, 5 bytes).",,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x27,0x03,9,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U1,-,version,-,Message version (0x01 for this version),
1,U1[3],-,reserved1,-,Reserved,
4,U1[5],-,uniqueId,-,Unique chip ID,
