"",Message,NAV-CLOCK,,,,,
"",Description,Clock Solution,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Periodic/Polled,,,,,
"",Comment,-,,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x01,0x22,20,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U4,-,iTOW,ms,"GPS time of week of the navigation epoch.See the description of iTOW for details.",
"",4,I4,-,clkB,ns,Clock bias,
"",8,I4,-,clkD,ns/s,Clock drift,
"",12,U4,-,tAcc,ns,Time accuracy estimate,
"",16,U4,-,fAcc,ps/s,Frequency accuracy estimate,
