"",Message,LOG-FINDTIME,,,,,
"",Description,Response to FINDTIME request.,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Output,,,,,
"",Comment,-,,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x21,0x0E,8,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,version,-,Message version (=1 for this version),
"",1,U1,-,type,-,"Message type, 1 for response",
"",2,U1[2],-,reserved1,-,Reserved,
"",4,U4,-,entryNumber,-,"Index of the first log entry with time = giventime, otherwise index of the most recent entrywith time < given time. If 0xFFFFFFFF, no logentry found with time <= given time. Theindexing of log entries is zero based.",
