"",Message,CFG-PRT,,,,,
"",Description,Polls the configuration for one I/O Port,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Poll Request,,,,,
"",Comment,"Sending this message with a port ID as payload results in having the receiver return theconfiguration for the specified port.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x06,0x00,1,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,PortID,-,"Port Identifier Number (see the other versions ofCFG-PRT for valid values)",
