"",Message,NAV-DGPS,,,,,
"",Description,DGPS Data Used for NAV,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Periodic/Polled,,,,,
"",Comment,"This message outputs the DGPS correction data that has been applied to the current NAVSolution. See also the notes on the RTCM protocol.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x01,0x31,16 + 12*numCh,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U4,-,iTOW,ms,"GPS time of week of the navigation epoch.See the description of iTOW for details.",
"",4,I4,-,age,ms,Age of newest correction data,
"",8,I2,-,baseId,-,DGPS base station identifier,
"",10,I2,-,baseHealth,-,DGPS base station health status,
"",12,U1,-,numCh,-,"Number of channels for which correction data isfollowing",
"",13,U1,-,status,-,"DGPS correction type status:0x00:  none0x01:  PR+PRR correction",
"",14,U1[2],-,reserved1,-,Reserved,
