"",Message,UBX-MGA-INI-POS_LLH,,,,,
"",Description,Initial Position Assistance,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Input,,,,,
"",Comment,"Supplying position assistance that is inaccurate by more than the specifiedposition accuracy, may lead to substantially degraded receiver performance.This message allows the delivery of initial position assistance to a receiver in WGS84lat/long/alt coordinates. This message is equivalent to the UBX-MGA-INI-POS_XYZmessage, except for the coordinate system. See the description of AssistNow Online fordetails.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x13,0x40,20,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,type,-,Message type (0x01 for this type),
"",1,U1,-,version,-,Message version (0x00 for this version),
"",2,U1[2],-,reserved1,-,Reserved,
