Message,CFG-NAVX5,,,,,
Description,Navigation Engine Expert Settings,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 18 up to version 23.01",,,,,
Type,Get/Set,,,,,
Comment,-,,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x06,0x23,40,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U2,-,version,-,Message version (2 for this version),
2,X2,-,mask1,-,"First parameters bitmask. Only the flaggedparameters will be applied, unused bits must beset to 0. (see graphic below)",
