Message,INF-WARNING,,,,,
Description,ASCII output with warning contents,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
Type,Output,,,,,
Comment,"This message has a variable length payload, representing an ASCII string.",,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x04,0x01,0 + 1*N,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
Start of repeated block (N times),,,,,,
N*1,CH,-,str,-,ASCII Character,
End of repeated block,,,,,,
