"",Message,AID-AOP,,,,,
"",Description,"Poll AssistNow Autonomous data, one GPS satellite",,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Poll Request,,,,,
"",Comment,"All UBX-AID messages are deprecated; use UBX-MGA messages insteadPoll the AssistNow Autonomous data for the specified GPS satellite. The receiver will returna AID-AOP message (see definition below) if data is available for the requested satellite.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x0B,0x33,1,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,svid,-,"GPS SV ID for which the data is requested (validrange: 1..32).",
