"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description
"",12,U2,0.01,hDOP,-,Horizontal DOP
"",14,U2,0.01,nDOP,-,Northing DOP
"",16,U2,0.01,eDOP,-,Easting DOP
