"",Message,AID-AOP,,,,,
"",Description,"Poll AssistNow Autonomous data, all satellites",,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Poll Request,,,,,
"",Comment,"All UBX-AID messages are deprecated; use UBX-MGA messages insteadPoll AssistNow Autonomous aiding data for all GPS satellites by sending this emptymessage. The receiver will return an AID-AOP message (see definition below) for each GPSsatellite for which data is available.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
0xB5 0x62,0x0B,0x33,0,see below,CK_A CK_B,,
