Message,NAV-TIMEBDS,,,,,
Description,BDS Time Solution,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 17 up to version 23.01",,,,,
Type,Periodic/Polled,,,,,
Comment,"This message reports the precise BDS time of the most recent navigation solution includingvalidity flags and an accuracy estimate.",,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x01,0x24,20,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U4,-,iTOW,ms,"GPS time of week of the navigation epoch.See the description of iTOW for details.",
4,U4,-,SOW,s,BDS time of week (rounded to seconds),
8,I4,-,fSOW,ns,"Fractional part of SOW (range: +/-500000000).The precise BDS time of week in seconds is:SOW + fSOW * 1e-9",
12,I2,-,week,-,BDS week number of the navigation epoch,
14,I1,-,leapS,s,BDS leap seconds (BDS-UTC),
15,X1,-,valid,-,Validity Flags (see graphic below),
16,U4,-,tAcc,ns,Time Accuracy Estimate,
