Message,CFG-ITFM,,,,,
Description,Jamming/Interference Monitor configuration,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
Type,Get/Set,,,,,
Comment,Configuration of Jamming/Interference monitor.,,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x06,0x39,8,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,X4,-,config,-,interference config word. (see graphic below),
4,X4,-,config2,-,"extra settings for jamming/interference monitor(see graphic below)",
