"",Message,NAV-POSLLH,,,,,
"",Description,Geodetic Position Solution,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Periodic/Polled,,,,,
"",Comment,"See important comments concerning validity of position given in sectionNavigation Output Filters.This message outputs the Geodetic position in the currently selected ellipsoid. The default isthe WGS84 Ellipsoid, but can be changed with the message CFG-DAT.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x01,0x02,28,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U4,-,iTOW,ms,"GPS time of week of the navigation epoch.See the description of iTOW for details.",
"",4,I4,1e-7,lon,deg,Longitude,
"",8,I4,1e-7,lat,deg,Latitude,
"",12,I4,-,height,mm,Height above ellipsoid,
"",16,I4,-,hMSL,mm,Height above mean sea level,
"",20,U4,-,hAcc,mm,Horizontal accuracy estimate,
