Message,CFG-DYNSEED,,,,,
Description,Programming the dynamic seed for the host interface signature,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 18 up to version 23.01",,,,,
Type,Set,,,,,
Comment,"The message can be used to program the dynamic seed for the host interface signature. Ifsuccessfully configured, the message will answer with ACK, otherwise with NAK. Beforethe first programming, it is assumed that the dynamic seed is all '0'.",,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x06,0x85,12,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U1,-,version,-,Message version (0x01 for this version),
1,U1[3],-,reserved1,-,Reserved,
4,U4,-,seedHi,-,high word of dynamic seed,
8,U4,-,seedLo,-,low word of dynamic seed,
